ジャンル,ページ,名前,読み,総格,天格,人格,地格
明るい,1,丈喜,"たけよし,ひろよし",24,9,7,9
明るい,1,丈晴,"たけはる,ひろはる",24,9,7,9
明るい,1,久仁彦,くにひこ,25,9,7,9
明るい,1,久勝,ひさかつ,24,9,7,9
明るい,1,久喜,ひさよし,24,9,7,9
明るい,1,久暁,"ひさあき,ひさときなど",24,9,7,9
明るい,1,京壱,"きょういち,けいいち",24,9,12,9
明るい,1,京志,けいし,24,9,12,9
明るい,1,仁人,"きみと,まさとなど",15,9,8,9
明るい,1,仁博,ひとひろ,25,9,8,9
明るい,1,仁康,"ひとやす,まさやす",24,9,8,9
明るい,1,仁貴,"ひとき,ひとたか",25,9,8,9
明るい,1,仁隆,ひとたか,24,9,8,9
明るい,1,伸享,のぶたか,24,9,11,9
明るい,1,伸亮,のぶあき,25,9,11,9
明るい,1,伸俊,のぶとし,25,9,11,9
明るい,1,伸司,しんじ,21,9,11,9
明るい,1,伸和,のぶかず,24,9,11,9
明るい,1,伸哉,しんや,25,9,11,9
明るい,1,伸央,のぶひろ,21,9,11,9
明るい,1,伸季,のぶき,24,9,11,9
明るい,1,伸平,しんぺい,21,9,11,9
明るい,1,伸幸,のぶゆき,24,9,11,9
明るい,1,伸広,のぶひろ,21,9,11,9
明るい,1,伸弘,のぶひろ,21,9,11,9
明るい,1,伸弥,"しんや,のぶや",24,9,11,9
明るい,1,伸彦,のぶひこ,25,9,11,9
明るい,1,伸拓,のぶひろ,24,9,11,9
明るい,1,伸政,のぶまさ,25,9,11,9
明るい,1,伸昌,のぶまさ,24,9,11,9
明るい,1,伸明,のぶあき,24,9,11,9
明るい,1,伸昭,のぶあき,25,9,11,9
明るい,1,伸栄,のぶひろ,25,9,11,9
明るい,1,伸治,しんじ,24,9,11,9
明るい,1,伸洋,のぶひろ,25,9,11,9
明るい,1,伸生,のぶお,21,9,11,9
明るい,1,伸矢,"しんや,のぶや",21,9,11,9
明るい,1,伸紀,"のぶのり,のぶきなど",25,9,11,9
明るい,1,伸英,のぶひで,24,9,11,9
明るい,1,伸茂,のぶしげ,24,9,11,9
明るい,1,伸蔵,しんぞう,31,9,11,9
明るい,1,佐登志,さとし,35,9,11,9
明るい,1,佑幸,ゆうこう,24,9,11,9
明るい,1,佑輝,ゆうき,31,9,11,9
明るい,1,佳伸,よしのぶ,24,9,12,9
明るい,1,佳希,よしき,24,9,12,9
明るい,1,佳幸,よしゆき,25,9,12,9
明るい,1,佳明,かつひろ,25,9,12,9
明るい,1,侑希,ゆうき,24,9,12,9
明るい,1,僚一,りょういち,24,9,18,9
明るい,2,,,35,9,21,9
明るい,2,優輝,ゆうき,41,9,21,9
明るい,2,允善,まさよし,25,9,8,9
明るい,2,元人,もとひと,15,9,8,9
明るい,2,元喜,"げんき,もとよしなど",25,9,8,9
明るい,2,元基,げんき,24,9,8,9
明るい,2,元就,もとなり,25,9,8,9
明るい,2,元康,もとやす,24,9,8,9
明るい,2,元揮,げんき,25,9,8,9
明るい,2,元規,"げんき,もとのり",24,9,8,9
明るい,2,元貴,"げんき,もとたか",25,9,8,9
明るい,2,克幸,"かつゆき,かい",24,9,11,9
明るい,2,克昌,かつまさ,24,9,11,9
明るい,2,克明,かつあき,24,9,11,9
明るい,2,克洋,かつひろ,25,9,11,9
明るい,2,克輝,"かつき,よしき",31,9,11,9
明るい,2,公喜,こうき,25,9,8,9
明るい,2,公康,きみやす,24,9,8,9
明るい,2,公晴,きみはる,25,9,8,9
明るい,2,公陽,"こうよう,きみはる",25,9,8,9
明るい,2,典仁,のりひと,21,9,12,9
明るい,2,典寿,のりとし,24,9,12,9
明るい,2,典幸,のりゆき,25,9,12,9
明るい,2,典明,のりあき,25,9,12,9
明るい,2,冴輝,さえき,31,9,11,9
明るい,2,利幸,としゆき,24,9,11,9
明るい,2,利昌,としまさ,24,9,11,9
明るい,2,利明,としあき,24,9,11,9
明るい,2,利春,としはる,25,9,11,9
明るい,2,利昭,としあき,25,9,11,9
明るい,2,利洋,としひろ,25,9,11,9
明るい,2,勢也,せいや,25,9,17,9
明るい,2,千寛,ちひろ,25,9,7,9
